판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-12-24,9?일,?싼타페 더 프라임 E-VGT R2.0 4WD 프리미엄 [무],오토,2016.12,경유,"173,686",흰색,"1,430",옵션
,,,,[ 2017 ],,,,,
2021-12-24,161?일,?X5(E70) XDRIVE 3.0SI [무],오토,2009.02,휘발유,"122,496",검정색,"1,170",옵션
,,,,[ 2008 ],,,,,
2021-12-24,72?일,?레토나밴 2인 2인승 밴,오토,2001.02,경유,"268,625",흰색,300,옵션
,,,,[ 2001 ],,,,,
2021-12-24,22?일,?랭글러 2.8 루비콘 4DR [무],오토,2010.03,경유,"149,864",검정색,"1,520",옵션
,,,,[ 2010 ],,,,,
2021-12-24,9?일,?포터2 카고(CRDI) 초장축 슈퍼캡,수동,2011.05,경유,"147,479",흰색,550,옵션
,,,,[ 2011 ],,,,,
2021-12-24,36?일,?레이 프레스티지 패밀리,오토,2012.05,휘발유,"108,198",민트색,570,옵션
,,,,[ 2012 ],,,,,
2021-12-24,31?일,?베라쿠르즈 4WD 300VX 럭셔리 [무],오토,2011.04,경유,"186,477",은색,980,옵션
,,,,[ 2011 ],,,,,
2021-12-24,158?일,?뉴 투싼iX 디젤(E-VGT)2WD 월드컵에디션,오토,2014.05,경유,"47,021",은색,"9,999",옵션
,,,,[ 2015 ],,,,,
2021-12-24,72?일,?셀토스 가솔린 1.6 터보 2WD 노블레스 [무],오토,2020.01,휘발유,"22,025",검정색,"9,999",옵션
,,,,[ 2020 ],,,,,
2021-12-24,39?일,?쏘울 1.6 GDI 럭셔리 [무],오토,2012.09,휘발유,"124,589",흰색,920,옵션
,,,,[ 2013 ],,,,,
2021-12-24,158?일,?뉴5-SERIES 520D 세단 [무],오토,2015.03,경유,"98,103",흰색,"2,290",옵션
,,,,[ 2015 ],,,,,
2021-12-24,149?일,?봉고3트럭 1.2톤 초장축 킹캡 CRDi 프레스티지 [무],수동,2017.03,경유,"106,075",청색,"1,250",옵션
,,,,[ 2017 ],,,,,
2021-12-24,10?일,?뉴모닝 SLX 고급형 블랙프리미엄,오토,2010.02,휘발유,"152,000",쥐색,230,옵션
,,,,[ 2010 ],,,,,
2021-12-24,113?일,?봉고3트럭 1톤 초장축 킹캡 CRDi [무],오토,2015.03,경유,"237,884",청색,900,옵션
,,,,[ 2015 ],,,,,
2021-12-24,29?일,?QM6 가솔린 2WD RE 시그니처,오토,2018.11,휘발유,"80,485",흑장미색,70,옵션
,,,,[ 2019 ],,,,,
2021-12-24,10?일,?레이 프레스티지 [무],오토,2013.10,휘발유,"73,853",흰색,880,옵션
,,,,[ 2014 ],,,,,
2021-12-24,44?일,?아반떼MD M16GDI PREMIER,오토,2012.06,휘발유,"88,290",흰색,800,옵션
,,,,[ 2012 ],,,,,
2021-12-24,57?일,?캐시카이 1.6 SL [무],오토,2014.12,경유,"111,000",흰색,96,옵션
,,,,[ 2015 ],,,,,
2021-12-24,73?일,?뉴5-SERIES 528I XDRIVE [무],오토,2013.03,휘발유,"165,231",검정색,"1,440",옵션
,,,,[ 2013 ],,,,,
2021-12-24,46?일,?그랜저HG HG240 LUXURY,오토,2011.06,휘발유,"173,030",검정색,670,옵션
,,,,[ 2011 ],,,,,
2021-12-24,44?일,?K5 2.0 디럭스 [무],오토,2011.10,휘발유,"113,823",흰색,570,옵션
,,,,[ 2012 ],,,,,
2021-12-24,30?일,?셀토스 가솔린 1.6 터보 2WD 노블레스 [무],오토,2019.08,휘발유,"22,503",다크그레이,"2,270",옵션
,,,,[ 2020 ],,,,,
2021-12-24,10?일,?5-SERIES(G30) 520D XDRIVE M 스포츠 플러스 [무],오토,2017.06,경유,"127,481",쥐색,"3,350",옵션
,,,,[ 2017 ],,,,,
2021-12-24,79?일,?소나타뉴라이즈 2.0 모던 [무],오토,2018.08,휘발유,"96,000",검정색,22,옵션
,,,,[ 2019 ],,,,,
2021-12-24,14?일,?더 뉴 아반떼 1.6 GDI 모던 [무],오토,2015.03,휘발유,"100,198",흰색,930,옵션
,,,,[ 2015 ],,,,,
2021-12-24,58?일,?뷰티풀코란도 2WD 가솔린 1.5 C5 플러스 [무],오토,2020.09,휘발유,"25,658",흰색,"1,930",옵션
,,,,[ 2021 ],,,,,
2021-12-24,16?일,?뉴E-클래스 E300 엘레강스,오토,2012.08,휘발유,"110,000",흰색,"1,299",옵션
,,,,[ 2012 ],,,,,
2021-12-24,7?일,?쏘울 1.6 2U 최고급형 [무],오토,2009.06,휘발유,"50,000",흰색,699,옵션
,,,,[ 2010 ],,,,,
2021-12-24,2?일,?포터2 카고(CRDI) 초장축 슈퍼캡 [무],오토,2021.01,경유,"10,312",흰색,"1,740",옵션
,,,,[ 2021 ],,,,,
2021-12-24,18?일,?뉴SM5 LE [무],오토,2007.02,휘발유,"110,000",명은색,259,옵션
,,,,[ 2007 ],,,,,
2021-12-24,35?일,?뉴모닝 LX 고급형 블랙프리미엄 [무],오토,2009.11,휘발유,"89,533",쥐색,270,옵션
,,,,[ 2010 ],,,,,
2021-12-24,23?일,?포르테 1.6 CVVT SI [무],오토,2010.08,휘발유,"115,947",흰색,380,옵션
,,,,[ 2010 ],,,,,
2021-12-24,71?일,?더뉴레이 LPI 프레스티지,오토,2019.01,LPG,"21,184",흰색,"1,390",옵션
,,,,[ 2018 ],,,,,
2021-12-24,179?일,?에쿠스(신형) VS380 프레스티지,오토,2011.06,휘발유,"69,258",흰색,"1,590",옵션
,,,,[ 2012 ],,,,,
2021-12-24,410?일,?C-클래스 W205 C220 블루텍 익스클루시브 [무],오토,2014.09,경유,"191,517",검정색,"1,640",옵션
,,,,[ 2015 ],,,,,
2021-12-24,182?일,?봉고3트럭 1톤 초장축 킹캡 CRDi 럭셔리 [무],수동,2018.01,경유,"78,232",흰색,"1,150",옵션
,,,,[ 2018 ],,,,,
2021-12-24,23?일,?에쿠스(신형) VS500 프레스티지,오토,2014.02,휘발유,"150,000",쥐색,"1,770",옵션
,,,,[ 2014 ],,,,,
2021-12-24,25?일,?뉴스포티지 2WD LIMITED [무],오토,2006.04,경유,"142,770",자주색,279,옵션
,,,,[ 2006 ],,,,,
2021-12-24,22?일,?올 뉴 카니발 7인승 리무진 프레지던트,오토,2015.05,경유,"120,000",흰색,"1,969",옵션
,,,,[ 2016 ],,,,,
2021-12-24,8?일,?스파크 LS 기본형,오토,2011.09,휘발유,"130,000",민트색,239,옵션
,,,,[ 2012 ],,,,,
2021-12-24,46?일,?티볼리 1.6 LX 최고급형 [무],오토,2015.04,경유,"88,000",검정색,"7,417",옵션
,,,,[ 2015 ],,,,,
2021-12-24,36?일,?에쿠스(신형) VS500 프레스티지 [무],오토,2014.06,휘발유,"80,000",검정색,"2,320",옵션
,,,,[ 2014 ],,,,,
2021-12-24,29?일,?포르테 1.6 CVVT PREMIUM(SI) [무],오토,2009.06,휘발유,"110,000",흰색,490,옵션
,,,,[ 2010 ],,,,,
2021-12-24,57?일,?그랜드스타렉스 12인(LPI) 스마트 [무],오토,2016.10,LPG,"183,129",검정색,"1,200",옵션
,,,,[ 2016 ],,,,,
2021-12-24,98?일,?S80 T5 [무],오토,2015.10,휘발유,"74,860",은색,1,옵션
,,,,[ 2016 ],,,,,
2021-12-24,85?일,?다마스2 밴 2인 [무],수동,2018.09,LPG,"2,394",흰색,750,옵션
,,,,[ 2018 ],,,,,
2021-12-24,30?일,?YF소나타 GRAND [무],오토,2012.03,휘발유,"125,844",쥐색,540,옵션
,,,,[ 2012 ],,,,,
2021-12-24,10?일,?XM3 1.3 TCe 260 RE 시그니처 [무],오토,2020.11,휘발유,"2,674",청색,"2,240",옵션
,,,,[ 2020 ],,,,,
2021-12-24,175?일,?C-클래스 W205 C220 D 아방가르드 [무],오토,2015.11,경유,"104,689",쥐색,290,옵션
,,,,[ 2016 ],,,,,
2021-12-24,15?일,?그랜저IG 3.0 GDI 익스클루시브 [무],오토,2017.03,휘발유,"38,359",흰색,"2,350",옵션
,,,,[ 2017 ],,,,,
2021-12-24,49?일,?EQ900 5.0 GDI AWD 프레스티지 [무],오토,2016.03,휘발유,"153,000",검정색,"3,140",옵션
,,,,[ 2016 ],,,,,
2021-12-24,67?일,?SM6 2.0 GDe LE [무],오토,2016.08,휘발유,"50,084",검정색,"1,300",옵션
,,,,[ 2016 ],,,,,
2021-12-24,84?일,?포터2 카고(CRDI) 초장축 슈퍼캡 [무],오토,2014.03,경유,"58,510",흰색,1,옵션
,,,,[ 2015 ],,,,,
2021-12-24,37?일,?봉고3트럭 하이내장탑 1톤 [무],수동,2011.08,경유,"204,852",흰색,1,옵션
,,,,[ 2011 ],,,,,
2021-12-24,10?일,?NF소나타 N20 DELUXE [무],오토,2006.10,LPG,"276,397",검정색,120,옵션
,,,,[ 2007 ],,,,,
2021-12-24,11?일,?알페온 SPECIAL 스페셜 [무],오토,2010.10,휘발유,"108,715",흰색,740,옵션
,,,,[ 2011 ],,,,,
2021-12-24,252?일,?K5 2.0 스마트 스페셜 [무],오토,2011.07,휘발유,"94,160",검정색,520,옵션
,,,,[ 2011 ],,,,,
2021-12-24,172?일,?프라이드신형 4DR 1.5 VGT SLX,오토,2008.05,경유,"160,000",청색,10,옵션
,,,,[ 2008 ],,,,,
2021-12-24,10?일,?더뉴스파크 프리미어,오토,2020.05,휘발유,"14,000",흰색,10,옵션
,,,,[ 2020 ],,,,,
2021-12-24,4?일,?포르테GDI 럭셔리 에코플러스 [무],오토,2011.12,휘발유,"84,760",은색,490,옵션
,,,,[ 2011 ],,,,,
2021-12-24,10?일,?올 뉴 카니발 9인승 하이리무진 노블레스 [무],오토,2015.10,경유,"77,891",검정색,"2,800",옵션
,,,,[ 2016 ],,,,,
2021-12-24,85?일,?더K9 3.8 GDI AWD 그랜드 플래티넘 [무],오토,2018.06,휘발유,"70,107",검정색,"3,990",옵션
,,,,[ 2019 ],,,,,
2021-12-24,39?일,?체로키(KL) 2.2 디젤 리미티드 4WD [무],오토,2016.09,경유,"104,722",흰색,"2,090",옵션
,,,,[ 2016 ],,,,,
2021-12-24,16?일,?뉴코란도C 2.0 CVT 2WD 고급형 [무],오토,2013.11,경유,"165,000",흰색,11,옵션
,,,,[ 2014 ],,,,,
2021-12-24,46?일,?더 SUV 스포티지 디젤 1.7 2WD 노블레스,오토,2018.02,경유,"64,000",흰색,"1,690",옵션
,,,,[ 2018 ],,,,,
2021-12-24,9?일,?올뉴모닝 디럭스 [무],오토,2011.05,휘발유,"87,000",진주색,380,옵션
,,,,[ 2012 ],,,,,
2021-12-24,58?일,?코란도투리스모 TX 4WD 9인승 [무],오토,2015.12,경유,"150,482",흑장미색,890,옵션
,,,,[ 2016 ],,,,,
