판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-08-31,69?일,?베리 뉴 티볼리 가솔린 1.5 4WD V7,오토,2019.07,휘발유,"25,751",진주색,"1,820",옵션
,,,,[ 2019 ],,,,,
2021-08-31,68?일,?더뉴K5 2.0 럭셔리 [무],오토,2014.04,휘발유,"181,598",은색,580,옵션
,,,,[ 2014 ],,,,,
2021-08-31,64?일,?소나타뉴라이즈 2.0 스마트 초이스 [무],오토,2018.10,휘발유,"18,067",흰색,"1,820",옵션
,,,,[ 2019 ],,,,,
2021-08-31,63?일,?뉴SM5플래티넘 LPLI SE PLUS [무],오토,2013.09,LPG,"178,118",흰색,460,옵션
,,,,[ 2013 ],,,,,
2021-08-31,62?일,?니로 1.6 하이브리드 프레스티지 [무],오토,2018.02,휘발유 하이브리드,"63,791",검정색,"1,829",옵션
,,,,[ 2018 ],,,,,
2021-08-31,61?일,?K7 프리미어 2.5 GDI X 에디션,오토,2020.05,휘발유,"11,075",검정색,"3,300",옵션
,,,,[ 2020 ],,,,,
2021-08-31,60?일,?뉴코란도C 2.0 CVT 2WD 고급형 [무],오토,2014.10,경유,"61,276",베이지색,"1,050",옵션
,,,,[ 2015 ],,,,,
2021-08-31,60?일,?랭글러 3.6 스포츠,오토,2017.04,휘발유,"47,028",흰색,30,옵션
,,,,[ 2017 ],,,,,
2021-08-31,56?일,?뉴SM3(신형) SE [무],오토,2010.04,휘발유,"117,906",다크블루,290,옵션
,,,,[ 2010 ],,,,,
2021-08-31,56?일,?올뉴모닝(JA) 럭셔리 [무],오토,2017.07,휘발유,"77,000",흰색,720,옵션
,,,,[ 2017 ],,,,,
2021-08-31,56?일,?뉴XF 2.2 D 프리미엄 [무],오토,2015.05,경유,"121,351",흰색,"1,290",옵션
,,,,[ 2015 ],,,,,
2021-08-31,55?일,?508 1.6 E-HDI 프리미엄 [무],오토,2015.11,경유,"64,442",흰색,"1,390",옵션
,,,,[ 2015 ],,,,,
2021-08-31,55?일,?G4렉스턴 디젤 2.2 4WD 마제스티 [무],오토,2017.11,경유,"195,700",쥐색,"1,630",옵션
,,,,[ 2018 ],,,,,
2021-08-31,55?일,?i40 1.7 VGT D 스펙 [무],오토,2015.01,경유,"173,504",흰색,890,옵션
,,,,[ 2015 ],,,,,
2021-08-31,54?일,?디스커버리5 2.0 SD4 SE [무],오토,2018.05,경유,"38,679",검정색,"4,690",옵션
,,,,[ 2018 ],,,,,
2021-08-31,54?일,?G80 3.3 GDI AWD 프리미엄 럭셔리 [무],오토,2018.08,휘발유,"30,351",흰색,10,옵션
,,,,[ 2018 ],,,,,
2021-08-31,54?일,?올뉴모닝 디럭스 [무],오토,2014.12,휘발유,"33,701",진주색,"6,666",옵션
,,,,[ 2015 ],,,,,
2021-08-31,54?일,?뉴SM5플래티넘 LPLI SE PLUS [무],오토,2013.11,LPG,"60,580",흰색,99,옵션
,,,,[ 2014 ],,,,,
2021-08-31,53?일,?더 뉴 그랜저 IG 하이브리드 캘리그래피,오토,2020.09,휘발유,"17,800",흰색,"3,590",옵션
,,,,[ 2020 ],,,,,
2021-08-31,50?일,?쏘울 EV EV [무],오토,2017.10,전기,"56,000",흰색,"1,470",옵션
,,,,[ 2018 ],,,,,
2021-08-31,49?일,?LF 소나타 LPI 스마트 [무],오토,2014.09,LPG,"246,535",검정색,520,옵션
,,,,[ 2015 ],,,,,
2021-08-31,49?일,?더뉴K5(2세대) 2.0 월드컵 에디션 [무],오토,2018.07,휘발유,"90,889",검정색,"1,840",옵션
,,,,[ 2019 ],,,,,
2021-08-31,48?일,?투싼 VGT 2WD JX 고급형,오토,2007.02,경유,"136,000",은색,250,옵션
,,,,[ 2007 ],,,,,
2021-08-31,48?일,?더뉴K7 3.0 GDI 프레스티지 [무],오토,2015.06,휘발유,"74,220",검정색,"1,370",옵션
,,,,[ 2015 ],,,,,
2021-08-31,48?일,?포터2 카고(CRDI) 초장축 일반캡 슈퍼 [무],오토,2015.05,경유,"306,174",청색,750,옵션
,,,,[ 2016 ],,,,,
2021-08-31,48?일,?K3 쿱 1.6 터보 노블레스 [무],오토,2015.02,휘발유,"55,591",빨간색,890,옵션
,,,,[ 2015 ],,,,,
2021-08-31,47?일,?아반떼AD 1.6 GDI 밸류 플러스 [무],오토,2017.01,휘발유,"40,222",흰색,"11,161",옵션
,,,,[ 2017 ],,,,,
2021-08-31,47?일,?베라쿠르즈 2WD 300VX 프리미어 [무],오토,2008.01,경유,"134,048",검정색,800,옵션
,,,,[ 2008 ],,,,,
2021-08-31,47?일,?레인지로버 스포츠 2세대 3.0 SDV6 HSE 다이나믹 [무],오토,2016.09,경유,"134,677",검정색,"4,730",옵션
,,,,[ 2016 ],,,,,
2021-08-31,47?일,?포터2 카고(CRDI) 초장축 일반캡,오토,2021.01,경유,"31,079",흰색,"1,660",옵션
,,,,[ 2021 ],,,,,
2021-08-31,47?일,?올뉴모닝 스마트 [무],수동,2013.01,휘발유,"73,454",흰색,350,옵션
,,,,[ 2013 ],,,,,
2021-08-31,46?일,?올뉴K3 G1.6 스탠다드,오토,2020.05,휘발유,"25,805",흰색,"1,360",옵션
,,,,[ 2020 ],,,,,
2021-08-31,46?일,?프리몬트 2.0 디젤 [무],오토,2014.04,경유,"100,000",은색,"9,999",옵션
,,,,[ 2013 ],,,,,
2021-08-31,46?일,?더 넥스트 스파크 1.0 가솔린 LT 플러스 [무],오토,2017.06,휘발유,"80,000",흰색,"9,999",옵션
,,,,[ 2017 ],,,,,
2021-08-31,43?일,?그랜저HG HG240 LUXURY [무],오토,2011.09,휘발유,"176,400",검정색,650,옵션
,,,,[ 2011 ],,,,,
2021-08-31,43?일,?포르테GDI 해치백(5도어) 프레스티지 [무],오토,2011.09,휘발유,"138,236",다크그레이,470,옵션
,,,,[ 2012 ],,,,,
2021-08-31,43?일,?제네시스 BH330 LUXYRY [무],오토,2008.02,휘발유,"203,100",검정색,600,옵션
,,,,[ 2008 ],,,,,
2021-08-31,43?일,?뉴토러스 3.5 LIMITED [무],오토,2010.04,휘발유,"68,926",검정색,"9,999",옵션
,,,,[ 2010 ],,,,,
2021-08-31,43?일,?포터2 카고(CRDI) 초장축 슈퍼캡 [무],오토,2014.10,경유,"290,130",청색,650,옵션
,,,,[ 2015 ],,,,,
2021-08-31,42?일,?뉴코란도C 2.0 RX 2WD 고급형,오토,2015.04,경유,"70,000",흰색,"1,059",옵션
,,,,[ 2015 ],,,,,
2021-08-31,42?일,,,2015.09,,"35,370",,690,옵션
,,,,[ 2015 ],,,,,
2021-08-31,41?일,?A5 35 TDI 콰트로 다이나믹 스포츠백 [무],오토,2015.09,경유,"90,000",흰색,"1,819",옵션
,,,,[ 2015 ],,,,,
2021-08-31,41?일,?SM6 2.0 GDe LE [무],오토,2016.03,휘발유,"82,000",은색,"1,240",옵션
,,,,[ 2016 ],,,,,
2021-08-31,41?일,?체어맨W CW700 4TRONIC 프레스티지 [무],오토,2010.03,휘발유,"210,000",검정색,369,옵션
,,,,[ 2010 ],,,,,
2021-08-31,40?일,?C-클래스 W205 C200 아방가르드 [무],오토,2016.03,휘발유,"69,000",검정색,"99,999",옵션
,,,,[ 2016 ],,,,,
2021-08-31,40?일,?올 뉴 카니발 11인승 프레스티지 [무],오토,2014.06,경유,"197,191",은색,"1,090",옵션
,,,,[ 2015 ],,,,,
2021-08-31,40?일,?싼타페CM 4WD MLX 최고급형 [무],오토,2008.02,경유,"104,000",검정색,570,옵션
,,,,[ 2008 ],,,,,
2021-08-31,40?일,?올뉴프라이드 4DR 1.6GDI 럭셔리 [무],오토,2014.04,휘발유,"80,000",흰색,530,옵션
,,,,[ 2014 ],,,,,
2021-08-31,40?일,?로체어드밴스 LX LPI [무],오토,2008.07,LPG,"179,161",흰색,250,옵션
