판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-11-26,86?일,?봉고3트럭 1톤 초장축 더블캡 CRDi [무],오토,2017.03,경유,"37,539",흰색,10,옵션
,,,,[ 2017 ],,,,,
2021-11-26,78?일,?싼타페DM 4WD 2.0 PREMIUM [무],오토,2013.02,경유,"92,143",은색,"1,519",옵션
,,,,[ 2013 ],,,,,
2021-11-26,79?일,?그랜저IG 2.4 GDI 모던,오토,2016.12,휘발유,"131,000",검정색,11,옵션
,,,,[ 2017 ],,,,,
2021-11-26,4?일,?모하비 4WD KV300 최고급형 [무],오토,2011.02,경유,"185,032",흰색,"1,090",옵션
,,,,[ 2011 ],,,,,
2021-11-26,3?일,?YF소나타 PRIME [무],오토,2011.12,휘발유,"115,911",검정색,490,옵션
,,,,[ 2012 ],,,,,
2021-11-26,2?일,?싼타페TM 가솔린 2.0T 4WD 인스퍼레이션 [무],오토,2020.03,휘발유,"5,321",흰색,"3,550",옵션
,,,,[ 2020 ],,,,,
2021-11-26,2?일,?더뉴K5 2.0 LPI 디럭스 [무],오토,2013.10,LPG,"98,355",흰색,990,옵션
,,,,[ 2014 ],,,,,
2021-11-26,3?일,?포터2 카고(CRDI) 초장축 슈퍼캡,수동,2008.12,경유,"88,069",흰색,380,옵션
,,,,[ 2009 ],,,,,
2021-11-26,3?일,?포터2 냉동탑 초장축 슈퍼캡 [무],오토,2019.06,경유,"98,239",흰색,1,옵션
,,,,[ 2019 ],,,,,
2021-11-26,9?일,?G80 3.3 GDI 럭셔리 [무],오토,2016.11,휘발유,"144,000",검정색,11,옵션
,,,,[ 2017 ],,,,,
2021-11-26,8?일,?레이 럭셔리 [무],오토,2012.06,휘발유,"80,000",흰색,690,옵션
,,,,[ 2012 ],,,,,
2021-11-26,8?일,?포터2 카고(CRDI) 초장축 슈퍼캡 스마트 [무],오토,2020.04,경유,"27,821",청색,"1,800",옵션
,,,,[ 2020 ],,,,,
2021-11-26,8?일,?제네시스쿠페 200 Turbo D,오토,2009.02,휘발유,"110,000",다크그레이,390,옵션
,,,,[ 2009 ],,,,,
2021-11-26,7?일,?포터2 카고(CRDI) 초장축 슈퍼캡 [무],오토,2014.10,경유,"123,086",흰색,"1,150",옵션
,,,,[ 2015 ],,,,,
2021-11-26,7?일,?올란도 LTZ 프리미엄 [무],오토,2012.02,경유,"87,465",쥐색,690,옵션
,,,,[ 2012 ],,,,,
2021-11-26,4?일,?더뉴모닝 럭셔리 [무],오토,2015.07,휘발유,"53,164",베이지색,700,옵션
,,,,[ 2016 ],,,,,
