판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-04-01,81?일,?그랜저TG뉴럭셔리 Q270 럭셔리 [무],오토,2008.08,휘발유,"99,110",검정색,430,옵션
,,,,[ 2009 ],,,,,
2022-04-01,7?일,?포터2 더블캡(CRDI) 초장축 SUPER,오토,2015.08,경유,"58,421",흰색,"1,320",옵션
,,,,[ 2016 ],,,,,
2022-04-01,10?일,?뷰티풀코란도 2WD 가솔린 1.5 C5 플러스,오토,2020.02,휘발유,"17,275",쥐색,"2,090",옵션
,,,,[ 2020 ],,,,,
2022-04-01,25?일,?올 뉴 카니발 9인승 노블레스 [무],오토,2016.07,경유,"110,000",검정색,22,옵션
,,,,[ 2017 ],,,,,
2022-04-01,32?일,?크루즈 1.8LTZ + [무],오토,2011.07,휘발유,"118,013",다크그레이,360,옵션
,,,,[ 2011 ],,,,,
2022-04-01,158?일,?뉴CLS-CLASS CLS350 블루이피션시 [무],오토,2011.09,휘발유,"110,000",검정색,10,옵션
,,,,[ 2012 ],,,,,
2022-04-01,32?일,?올 뉴 카니발 9인승 노블레스 [무],오토,2015.08,경유,"130,000",흰색,"1,820",옵션
,,,,[ 2016 ],,,,,
2022-04-01,37?일,?그랜드스타렉스,,2016.11,,"45,698",회색,"1,740",옵션
,,,,[ 2017 ],,,,,
2022-04-01,134?일,?올란도 LTZ 프리미엄,오토,2011.09,경유,"135,378",흰색,580,옵션
,,,,[ 2011 ],,,,,
2022-04-01,17?일,?스파크 LS [무],오토,2013.02,휘발유,"79,377",은색,330,옵션
,,,,[ 2013 ],,,,,
2022-04-01,14?일,?2008 1.6 E-HDI 펠린 [무],오토,2015.03,경유,"89,839",쥐색,760,옵션
,,,,[ 2015 ],,,,,
2022-04-01,28?일,?더 뉴 카니발 9인승 럭셔리 [무],오토,2018.11,경유,"118,649",다크그레이,"2,170",옵션
,,,,[ 2019 ],,,,,
2022-04-01,140?일,?더뉴스파크 마이핏 프리미어 [무],오토,2020.02,휘발유,"47,676",흰색,"1,100",옵션
,,,,[ 2020 ],,,,,
2022-04-01,32?일,?올 뉴 카니발 9인승 노블레스 [무],오토,2015.08,경유,"130,000",흰색,"1,820",옵션
,,,,[ 2016 ],,,,,
2022-04-01,37?일,?그랜드스타렉스,,2016.11,,"45,698",회색,"1,740",옵션
,,,,[ 2017 ],,,,,
2022-04-01,11?일,?제네시스 BH380 ROYAL VIP 팩 [무],오토,2008.03,휘발유,"114,000",은색,890,옵션
,,,,[ 2008 ],,,,,
2022-04-01,14?일,?2008 1.6 E-HDI 펠린 [무],오토,2015.03,경유,"89,839",쥐색,760,옵션
,,,,[ 2015 ],,,,,
2022-04-01,17?일,?스파크 LS [무],오토,2013.02,휘발유,"79,377",은색,330,옵션
,,,,[ 2013 ],,,,,
