판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-09-13,49?일,?G80(RG3) 2.5 가솔린 터보 AWD [무],오토,2020.05,휘발유,"33,096",쥐색,"6,000",옵션
,,,,[ 2020 ],,,,,
2021-09-13,49?일,?뉴A3 40 TFSI,오토,2018.08,휘발유,"34,564",검정색,"1,830",옵션
,,,,[ 2018 ],,,,,
2021-09-13,49?일,?아슬란 G300 모던 [무],오토,2014.12,휘발유,"120,000",검정색,"1,290",옵션
,,,,[ 2015 ],,,,,
2021-09-13,49?일,?포터2 내장탑 하이탑 초장축 일반캡(CRDI),수동,2010.08,경유,"80,981",흰색,690,옵션
,,,,[ 2010 ],,,,,
2021-09-13,49?일,?뉴SM5(신형) 장애우용 LE,오토,2011.09,LPG,"166,000",검정색,111,옵션
,,,,[ 2012 ],,,,,
2021-09-13,49?일,?올뉴투싼 디젤 2.0 2WD 모던,오토,2017.10,경유,"35,800",흰색,"2,099",옵션
,,,,[ 2018 ],,,,,
2021-09-13,48?일,?포터2 카고(CRDI) 초장축 슈퍼캡 스마트,오토,2018.07,경유,"175,284",흰색,"1,140",옵션
,,,,[ 2018 ],,,,,
2021-09-13,48?일,?레이 럭셔리,오토,2016.10,휘발유,"32,399",흰색,780,옵션
,,,,[ 2016 ],,,,,
2021-09-13,48?일,?뉴모닝 LPI LX 기본형 블랙프리미엄 [무],오토,2009.07,LPG,"130,000",흰색,280,옵션
,,,,[ 2010 ],,,,,
2021-09-13,47?일,?DS3 1.6 E-HDI 소 시크 [무],오토,2017.06,경유,"60,994",흰색,"1,000",옵션
,,,,[ 2017 ],,,,,
2021-09-13,47?일,?스팅어 2.0 터보 2WD 플래티넘 [무],오토,2017.09,휘발유,"38,696",다크그레이,"2,850",옵션
,,,,[ 2018 ],,,,,
2021-09-13,48?일,?봉고3트럭 1톤 초장축 킹캡 CRDi DLX [무],수동,2015.12,경유,"24,000",흰색,"1,290",옵션
,,,,[ 2016 ],,,,,
2021-09-13,48?일,?뉴E-클래스 E220 블루텍 아방가르드 [무],오토,2015.10,경유,"189,090",검정색,"1,790",옵션
,,,,[ 2016 ],,,,,
2021-09-13,48?일,?모하비 4WD KV300 최고급형 [무],오토,2009.01,경유,"232,334",은색,820,옵션
,,,,[ 2008 ],,,,,
2021-09-13,52?일,?라세티프리미어 SX 일반형 [무],오토,2009.12,휘발유,"90,542",은색,250,옵션
,,,,[ 2010 ],,,,,
2021-09-13,53?일,?K5 3세대 2.0 노블레스 [무],오토,2020.01,휘발유,"33,707",쥐색,"2,530",옵션
