판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-10-14,37?일,?그랜저 IG 하이브리드 익스클루시브 스페셜,오토,2019.04,휘발유 하이브리드,"31,000",쥐색,"3,040",옵션
,,,,[ 2019 ],,,,,
2021-10-14,37?일,?그랜드스타렉스밴 3인 모던 [무],오토,2016.11,경유,"109,822",은색,"1,650",옵션
,,,,[ 2017 ],,,,,
2021-10-14,37?일,?그랜저HG HG220 PREMIUM 컬렉션 [무],오토,2014.08,경유,"126,926",흰색,"1,430",옵션
,,,,[ 2015 ],,,,,
2021-10-14,42?일,?올뉴쏘렌토 2WD 2.0 프레스티지 [무],오토,2017.02,경유,"109,007",쥐색,"1,760",옵션
,,,,[ 2017 ],,,,,
2021-10-14,42?일,?아반떼AD 1.6 GDI 모던 [무],오토,2016.10,휘발유,"101,456",흰색,"1,300",옵션
,,,,[ 2017 ],,,,,
2021-10-14,42?일,?포터2 내장탑 하이탑 [무],오토,2018.05,경유,"20,386",흰색,"1,940",옵션
,,,,[ 2018 ],,,,,
2021-10-14,42?일,?뉴E-클래스 E300 엘레강스 [무],오토,2013.02,휘발유,"134,883",검정색,"1,350",옵션
,,,,[ 2013 ],,,,,
2021-10-14,43?일,?스팅어 2.2 디젤 AWD 플래티넘 [무],오토,2019.09,경유,"86,352",검정색,"9,999",옵션
,,,,[ 2020 ],,,,,
2021-10-14,43?일,?제네시스 BH330 GRAND,오토,2009.12,휘발유,"120,000",은색,700,옵션
,,,,[ 2010 ],,,,,
2021-10-14,41?일,?그랜저IG 3.0 GDI 모던 베이직(렌터카) [무],오토,2017.04,휘발유,"112,401",흰색,"1,730",옵션
,,,,[ 2018 ],,,,,
2021-10-14,41?일,?그랜저IG 3.0 GDI 모던 베이직(렌터카) [무],오토,2017.04,휘발유,"103,313",흰색,"1,650",옵션
,,,,[ 2018 ],,,,,
2021-10-14,38?일,?뉴 투싼iX 디젤(E-VGT)2WD,오토,2014.08,경유,"67,927",흰색,"1,150",옵션
,,,,[ 2015 ],,,,,
2021-10-14,41?일,?포터2 냉동탑 [무],오토,2018.07,경유,"30,512",흰색,"2,120",옵션
,,,,[ 2018 ],,,,,
2021-10-14,45?일,?뉴토러스 2.0 LIMITED 에코부스트 [무],오토,2014.12,휘발유,"70,890",검정색,"1,230",옵션
,,,,[ 2015 ],,,,,
2021-10-14,44?일,?싼타페TM 디젤 2.0 2WD 익스클루시브 [무],오토,2018.08,경유,"25,000",검정색,"2,830",옵션
,,,,[ 2019 ],,,,,
2021-10-14,44?일,?마티즈크리에이티브 GROOVE [무],오토,2010.10,휘발유,"147,335",흰색,230,옵션
,,,,[ 2011 ],,,,,
2021-10-14,49?일,?뉴S60 D4 [무],오토,2015.03,경유,"128,000",흰색,"11,111",옵션
,,,,[ 2015 ],,,,,
2021-10-14,45?일,?엑센트신형 1.4VVT 프리미어 [무],오토,2013.02,휘발유,"152,000",흰색,420,옵션
,,,,[ 2013 ],,,,,
2021-10-14,45?일,?익스플로러 2.3 LIMITED,오토,2017.04,휘발유,"38,219",흰색,"3,150",옵션
,,,,[ 2017 ],,,,,
2021-10-14,45?일,?렉스턴2 RX5 4WD 최고급형,오토,2006.09,경유,"206,856",은색,260,옵션
,,,,[ 2006 ],,,,,
2021-10-14,51?일,?i30 1.6 VVT 프리미어 [무],오토,2008.06,휘발유,"70,574",은색,450,옵션
,,,,[ 2008 ],,,,,
2021-10-14,52?일,?그랜저TG L330 탑 메모리팩 [무],오토,2006.12,휘발유,"116,842",검정색,269,옵션
,,,,[ 2007 ],,,,,
2021-10-14,52?일,?투싼 VGT 2WD MX 고급형 [무],오토,2008.02,경유,"120,000",은하색,360,옵션
,,,,[ 2008 ],,,,,
2021-10-14,52?일,?올뉴K7 2.4 GDI 프레스티지 [무],오토,2017.06,휘발유,"61,000",다크그레이,160,옵션
,,,,[ 2017 ],,,,,
2021-10-14,52?일,?올 뉴 카니발 9인승 노블레스 [무],오토,2015.10,경유,"125,281",검정색,"1,920",옵션
