모델,가격,갯수,1,2,3,4,5
뉴 레인지로버 스포츠,4697,12,레인지로버 스포츠,마칸,3008 2세대,X4 2세대 (18년~현재),508 1세대
뉴 로디우스,310,1,-1,-1,-1,-1,-1
뉴 마스터,3850,1,-1,-1,-1,-1,-1
뉴 스타일 코란도,1359,14,코란도 C,뉴 코란도 C,뉴 코란도,코란도 스포츠,더 뉴 코란도 스포츠
뉴 스타일 코란도 C,1849,2,-1,-1,-1,-1,-1
뉴 스포티지 (04~10년),532,4,올 뉴 카렌스 (13~16년),쏠라티,기아 더 SUV 스포티지,더 뉴 카렌스 (16~18년)0,마칸
뉴 쏘렌토R (12~14년),1294,33,MQ4,쏘렌토R (09~12년),쏘렌토 4세대 (20년~현재),올 뉴 쏘렌토 (14~17년),더 뉴 쏘렌토 (17~20년)
뉴 에쿠스,1514,64,아슬란,더 뉴 그랜저,그랜저 뉴 럭셔리,더 뉴 그랜저IG,제네시스DH
뉴 오피러스 (06~09년),530,1,-1,-1,-1,-1,-1
뉴 체어맨W,1162,10,체어맨W,체어맨 W,체어맨 H 뉴 클래식,로디우스,더 뉴 렉스턴 스포츠
뉴 카니발 R (10~14년),738,31,카니발 4세대 (20년~현재),그랜드 카니발 (05~10년),더 뉴 카니발 (18~20년),올 뉴 카니발 (14~18년),스토닉 (17년~현재)
뉴 카렌스 (06~08년),503,3,올 뉴 카렌스 (13~16년),스팅어 마이스터 (20년~현재),쏠라티,더 뉴 카렌스 (16~18년)0,IS 2세대
뉴 코란도,830,34,코란도 투리스모,코란도 스포츠,코란도 C,뉴 스타일 코란도,뉴 코란도 C
뉴 코란도 C,1136,15,코란도 C,더 뉴 코란도 스포츠,뉴 스타일 코란도,뉴 코란도,코란도 투리스모
뉴 투싼ix,1155,36,올 뉴 투싼,투싼ix,디 올 뉴 투싼,디 올 뉴 투싼 하이브리드,싼타페CM
뉴 포터,2689,1,-1,-1,-1,-1,-1
뉴 프라이드 (05~11년),420,1,-1,-1,-1,-1,-1
뉴SM5 플래티넘,725,37,SM5 노바,뉴 SM5 (신형),SM5 뉴 임프레션,SM5,더 뉴 SM6
뉴그랜저XG,290,1,-1,-1,-1,-1,-1
뉴다마스,563,24,토스카,콜로라도,올란도,라세티 프리미어,올 뉴 말리부
뉴모닝 (08~11년),339,23,모닝 어반 (20년~현재),더 뉴 모닝 (15~17년),올 뉴 모닝 (17~20년),올 뉴 모닝 (11~15년),마티즈 크리에이티브
뉴비틀 2세대,430,2,-1,-1,-1,-1,-1
뉴카이런,219,2,-1,-1,-1,-1,-1
뉴클릭,287,4,베르나,더 뉴 프라이드 (15~17년),208,쿠퍼 쿠페,볼트EV
니로 (16~19년),1478,69,더 뉴 니로 (19년~현재),쏘렌토 4세대 하이브리드 (20년~현재),K7 프리미어 하이브리드 (19~21년),올 뉴 K7 하이브리드 (16년~현재),K7 하이브리드 (13~16년)
니로 EV (18년~현재),3570,4,EV6 (21년~현재),넥쏘,LS 5세대,RAV4,쏠라티
다코타,1570,1,-1,-1,-1,-1,-1
더 K9 (18년~현재),3493,118,K9 (12~14년),더 뉴 K9 (14~18년),더 뉴 K7 (12~16년),더 프레스티지 K7 (11~12년),K7 프리미어 (19~21년)
더 넥스트 스파크,839,118,더 뉴 스파크,스파크,마티즈 크리에이티브,알페온,콜로라도
더 뉴 G70,2295,9,더 올 뉴 G80,G90,EQ900,제네시스 쿠페,G80
더 뉴 K3 (15~18년),1132,82,올 뉴 K3 (18~21년),K3 (12~15년),쏘울 부스터 (19년~현재),쏘울 (08~13년),포르테 (08~13년)
더 뉴 K5 (13~15년),1036,67,K5 (19년~현재),더 뉴 K5 (18~20년),K5 (10~13년),K5 2세대 (15~18년),스팅어 (17~20년)
더 뉴 K5 (18~20년),1495,93,K5 (19년~현재),더 뉴 K5 (13~15년),K5 (10~13년),K5 2세대 (15~18년),스팅어 (17~20년)
더 뉴 K5 하이브리드 (18~19년),2256,3,K5 하이브리드 2세대 (15~18년),스팅어 마이스터 (20년~현재),뉴 카렌스 (06~08년),K5 하이브리드 (11~15년),오피러스 프리미엄 (09~11년)
더 뉴 K7 (12~16년),1177,45,K7 프리미어 (19~21년),더 프레스티지 K7 (11~12년),올 뉴 K7 (16~19년),K7 프리미어 하이브리드 (19~21년),올 뉴 K7 하이브리드 (16년~현재)
더 뉴 K9 (14~18년),1905,18,K9 (12~14년),더 K9 (18년~현재),더 뉴 K9 (21년~현재),더 프레스티지 K7 (11~12년),K7 (09~11년)
더 뉴 K9 (21년~현재),7360,3,K8 (21년~현재),K7 (09~11년),300C 2세대,LS 5세대,MKS
더 뉴 QM6,1297,41,QM6,QM5,캡처,뉴 QM3,QM3
더 뉴 SM6,1590,11,뉴 SM5 (신형),SM6,SM5 뉴 임프레션,뉴SM5 플래티넘,SM5 노바
더 뉴 i30,1062,4,콰트로포르테  6세대,포르테 쿱 (09~13년),폴로 5세대,IS 3세대,시빅 10세대
더 뉴 i40,1620,1,-1,-1,-1,-1,-1
더 뉴 i40 살룬,1505,2,-1,-1,-1,-1,-1
더 뉴 그랜드 스타렉스,1939,83,그랜드 스타렉스,스타리아,싼타페 더 스타일,디 올 뉴 투싼 하이브리드,i40 살룬
더 뉴 그랜저,3474,44,더 뉴 그랜저IG,그랜저 뉴 럭셔리,그랜저HG,그랜저IG,더 뉴 그랜저 하이브리드
더 뉴 그랜저 하이브리드,4061,45,그랜저IG 하이브리드,그랜저HG 하이브리드,더 뉴 그랜저IG 하이브리드,더 뉴 그랜저,그랜저 뉴 럭셔리
더 뉴 그랜저IG,1797,106,그랜저HG,더 뉴 그랜저,그랜저IG,그랜저 뉴 럭셔리,더 럭셔리 그랜저
더 뉴 그랜저IG 하이브리드,1313,8,그랜저HG 하이브리드,그랜저TG,더 럭셔리 그랜저,더 뉴 그랜저 하이브리드,그랜저IG 하이브리드
더 뉴 니로 (19년~현재),1882,14,니로 (16~19년),쏘렌토 4세대 하이브리드 (20년~현재),디 올 뉴 투싼 하이브리드,더 뉴 그랜저IG 하이브리드,니로 EV (18년~현재)
더 뉴 레이 (17년~현재),963,128,레이 (11~17년),모닝 어반 (20년~현재),더 뉴 모닝 (15~17년),뉴모닝 (08~11년),올 뉴 모닝 (11~15년)
더 뉴 렉스턴 스포츠,3056,6,렉스턴W,올 뉴 렉스턴,뉴 코란도 C,더 뉴 렉스턴 스포츠 칸,뉴 스타일 코란도
더 뉴 렉스턴 스포츠 칸,3312,14,코란도 C,렉스턴W,더 뉴 코란도 스포츠,뉴 스타일 코란도,뉴 코란도 C
더 뉴 말리부,2153,61,올 뉴 말리부,말리부,알페온,콜로라도,뉴다마스
더 뉴 맥스크루즈,2072,24,맥스크루즈,베라크루즈,크루즈,어메이징 뉴 크루즈,올 뉴 크루즈
더 뉴 모닝 (15~17년),734,89,모닝 어반 (20년~현재),올 뉴 모닝 (11~15년),올 뉴 모닝 (17~20년),뉴모닝 (08~11년),레이 (11~17년)
더 뉴 모하비 (16년~19년),2038,85,모하비 더 마스터 (19년~현재),모하비 (07~16년),스포티지R (10~13년),스토닉 (17년~현재),기아 더 SUV 스포티지
더 뉴 벨로스터,1199,8,뉴 i30,벨로스터 N,i30 PD,i30 GD,아반떼HD
더 뉴 봉고3 (19년~현재),1459,46,봉고3 (04~19년),마이티,포터2 일렉트릭,포터2,F150
더 뉴 스파크,1042,154,더 넥스트 스파크,스파크,마티즈 크리에이티브,알페온,콜로라도
더 뉴 스포티지R (13~16년),1255,62,스포티지 더 볼드 (18년~현재),스포티지 4세대 (15~18년),스포티지R (10~13년),기아 더 SUV 스포티지,스토닉 (17년~현재)
더 뉴 싼타페,2200,29,싼타페DM,싼타페CM,싼타페 더 프라임,싼타페TM,싼타페 더 스타일
더 뉴 싼타페 하이브리드,4420,2,-1,-1,-1,-1,-1
더 뉴 쏘렌토 (17~20년),1997,235,올 뉴 쏘렌토 (14~17년),MQ4,쏘렌토 4세대 (20년~현재),쏘렌토R (09~12년),뉴 쏘렌토R (12~14년)
더 뉴 쏘울 (16~19년),1009,10,올 뉴 쏘울 (13~16년),쏘울 부스터 (19년~현재),쏘울 (08~13년),포르테 쿱 (09~13년),포르테 (08~13년)
더 뉴 아반떼,949,60,더 뉴 아반떼AD,아반떼MD,아반떼 CN7,아반떼AD,더 뉴 아반떼MD
더 뉴 아반떼AD,1404,74,더 뉴 아반떼,아반떼MD,아반떼AD,아반떼 CN7,더 뉴 아반떼MD
더 뉴 아반떼MD,823,24,아반떼HD,아반떼 CN7,더 뉴 아반떼,더 뉴 아반떼AD,i30 PD
더 뉴 아베오,860,1,-1,-1,-1,-1,-1
더 뉴 아이오닉 일렉트릭,2895,6,아이오닉5,i30 GD,더 뉴 아이오닉 하이브리드,아반떼 CN7 하이브리드,프리우스 4세대
더 뉴 아이오닉 하이브리드,2578,6,아반떼 CN7 하이브리드,더 뉴 아이오닉 일렉트릭,프리우스,LS 5세대,i30 GD
더 뉴 제네시스 쿠페,1260,8,제네시스 쿠페,MKS,카운티,300C 2세대,K8 (21년~현재)
더 뉴 카니발 (18~20년),2258,240,올 뉴 카니발 (14~18년),카니발 4세대 (20년~현재),뉴 카니발 R (10~14년),그랜드 카니발 (05~10년),스토닉 (17년~현재)
더 뉴 카렌스 (16~18년)0,856,11,올 뉴 카렌스 (13~16년),뉴 카렌스 (06~08년),쏠라티,트래버스,익스프레스
더 뉴 카마로SS,3350,1,-1,-1,-1,-1,-1
더 뉴 코나,1932,7,코나 일렉트릭,코나 N,코나,베뉴,아이오닉5
더 뉴 코나 하이브리드,560,1,-1,-1,-1,-1,-1
더 뉴 코란도 스포츠,1583,19,뉴 코란도 C,코란도 C,뉴 스타일 코란도,더 뉴 렉스턴 스포츠 칸,뉴 코란도
더 뉴 트랙스,1567,101,트랙스,트레일블레이저,이쿼녹스,캡티바,콜로라도
더 뉴 프라이드 (15~17년),788,7,쿠퍼 컨버터블 3세대,뉴클릭,500,쿠퍼 클럽맨 1세대,베르나
더 럭셔리 그랜저,625,6,그랜저 뉴 럭셔리,더 뉴 그랜저IG 하이브리드,그랜저TG,그랜저HG 하이브리드,더 뉴 그랜저
더 비틀 3세대,1318,5,시로코 3세대,C3 에어크로스,2시리즈 그란 쿠페,207,쿠퍼 컨버터블 3세대
더 올 뉴 G80,5692,11,더 뉴 G70,G90,EQ900,GV70,G80
더 프레스티지 K7 (11~12년),756,19,더 뉴 K7 (12~16년),K7 프리미어 (19~21년),올 뉴 K7 (16~19년),K7 프리미어 하이브리드 (19~21년),올 뉴 K7 하이브리드 (16년~현재)
두에고,860,1,-1,-1,-1,-1,-1
디 올 뉴 투싼,1814,7,투싼ix,디 올 뉴 투싼 하이브리드,뉴 투싼ix,올 뉴 투싼,싼타페 더 스타일
디 올 뉴 투싼 하이브리드,3327,9,투싼ix,디 올 뉴 투싼,뉴 투싼ix,올 뉴 투싼,싼타페 더 스타일
디스커버리 3,1190,1,-1,-1,-1,-1,-1
디스커버리 4,3039,4,코세어,XC60 2세대,디스커버리 5,C3 에어크로스,르반떼
디스커버리 5,4586,5,레인지로버 4세대,CRV 5세대,올 뉴 에비에이터,V40 크로스컨트리,RAV4
디스커버리 스포츠,3011,21,레인지로버 이보크,티구안 2세대,티구안 1세대,레인지로버 스포츠,뉴 레인지로버 스포츠
라브4 4세대,2680,1,-1,-1,-1,-1,-1
라세티 프리미어,305,7,토스카,익스프레스,랜서,로체 이노베이션 (08~10년),트래버스
랜서,670,2,S60 3세대,알티마 5세대,V36,로체 이노베이션 (08~10년),어코드 10세대
램픽업,7450,1,-1,-1,-1,-1,-1
랭글러 3세대,2993,9,컴패스 2세대,V60 크로스컨트리 2세대,XT5,C40,QX60
랭글러 4세대,5227,4,올 뉴 에비에이터,컴패스 1세대,CRV 5세대,RAV4,프리몬트
레니게이드,2478,27,체로키 5세대,익스플로러 5세대,티구안 1세대,2008,티구안 2세대
레스타,2300,1,-1,-1,-1,-1,-1
레이 (11~17년),776,79,더 뉴 레이 (17년~현재),모닝 어반 (20년~현재),더 뉴 모닝 (15~17년),뉴모닝 (08~11년),올 뉴 모닝 (11~15년)
레이스,24935,1,-1,-1,-1,-1,-1
레인저,5546,3,DS3,3008 2세대,투아렉 2세대,퓨전 2세대,쿠가
레인지로버 3세대,1560,1,-1,-1,-1,-1,-1
레인지로버 4세대,10262,4,디스커버리 5,CRV 5세대,508 2세대,3008 1세대,프리몬트
레인지로버 벨라,7300,1,-1,-1,-1,-1,-1
레인지로버 스포츠,2620,1,뉴 레인지로버 스포츠,레인지로버 이보크,마칸,3008 2세대,X4 2세대 (18년~현재)
레인지로버 이보크,2408,10,레인지로버 스포츠,뉴 레인지로버 스포츠,디스커버리 스포츠,티구안 1세대,티구안 2세대
레인지로버이보크 1세대,2712,4,3008 1세대,XC90 2세대,투아렉 2세대,CRV 5세대,C40
레인지로버이보크 2세대,5050,1,-1,-1,-1,-1,-1
렉스턴 2,250,1,-1,-1,-1,-1,-1
렉스턴 스포츠,2305,61,렉스턴 스포츠 칸,G4 렉스턴,올 뉴 렉스턴,더 뉴 렉스턴 스포츠 칸,코란도 C
렉스턴 스포츠 칸,2523,43,렉스턴 스포츠,G4 렉스턴,올 뉴 렉스턴,코란도 C,더 뉴 렉스턴 스포츠 칸
렉스턴W,1202,12,더 뉴 렉스턴 스포츠 칸,올 뉴 렉스턴,뉴 코란도 C,코란도 C,더 뉴 코란도 스포츠
로그 2세대,585,2,-1,-1,-1,-1,-1
로디우스,215,2,액티언,체어맨 W,V40 크로스컨트리,체어맨 H 뉴 클래식,체어맨W
로체 (05~07년),375,2,-1,-1,-1,-1,-1
로체 어드밴스 (07~08년),330,1,-1,-1,-1,-1,-1
로체 이노베이션 (08~10년),426,6,S60 3세대,랜서,캠리 7세대,XJ,스팅어 마이스터 (20년~현재)
르반떼,7623,3,코세어,페이톤,3008 1세대,V40 크로스컨트리,V60 크로스컨트리 2세대
리얼 뉴 콜로라도,3850,5,윈스톰,트래버스,익스프레스,라세티 프리미어,토스카
마스터,2590,1,QM5 네오,미스터,뉴 QM6,뉴 QM5,조에
마이티,2570,16,더 뉴 봉고3 (19년~현재),봉고3 (04~19년),포터2 일렉트릭,포터2,F150
마칸,6614,6,3008 2세대,뉴 레인지로버 스포츠,컴패스 1세대,레인저,투아렉 2세대
마티즈 크리에이티브,313,11,알페온,더 넥스트 스파크,콜로라도,더 뉴 스파크,스파크
말리부,811,47,올 뉴 말리부,더 뉴 말리부,알페온,뉴다마스,콜로라도
맥스크루즈,1715,17,베라크루즈,더 뉴 맥스크루즈,크루즈,어메이징 뉴 크루즈,올 뉴 크루즈
맥시마 8세대,1705,1,-1,-1,-1,-1,-1
머스탱 5세대,1100,1,-1,-1,-1,-1,-1
머스탱 6세대,3554,13,6시리즈 3세대 (11~18년),1시리즈 3세대 (20년~현재),X1 2세대 (16년~현재),X3 3세대 (17년~현재),7시리즈 6세대 (16년~현재)
모닝 (04~08년),180,1,-1,-1,-1,-1,-1
모닝 어반 (20년~현재),1260,16,더 뉴 모닝 (15~17년),뉴모닝 (08~11년),올 뉴 모닝 (11~15년),올 뉴 모닝 (17~20년),마티즈 크리에이티브
모델 3,6161,6,콰트로포르테  6세대,제타 6세대,폴로 5세대,Q30,더 뉴 i30
모하비 (07~16년),2027,36,더 뉴 모하비 (16년~19년),모하비 더 마스터 (19년~현재),기아 더 SUV 스포티지,스포티지R (10~13년),더 뉴 스포티지R (13~16년)
모하비 더 마스터 (19년~현재),3752,140,더 뉴 모하비 (16년~19년),모하비 (07~16년),스토닉 (17년~현재),더 뉴 스포티지R (13~16년),스포티지R (10~13년)
몬데오 4세대,1318,5,Q50,V40 2세대,뉴 XF,CTS,ATS
무라노 3세대,2290,1,-1,-1,-1,-1,-1
미스터,3380,3,마스터,QM5 네오,에스컬레이드 4세대,뉴 QM5,티록
박스터,5845,2,F타입,알티마 5세대,QX60,EPACE,FPACE
밴티지,8200,1,-1,-1,-1,-1,-1
베뉴,1184,12,아이오닉5,넥쏘,갤로퍼,더 뉴 아이오닉 하이브리드,i30 GD
베라크루즈,1213,20,맥스크루즈,더 뉴 맥스크루즈,크루즈,어메이징 뉴 크루즈,올 뉴 크루즈
베라티스,580,1,-1,-1,-1,-1,-1
베르나,380,3,208,C3 에어크로스,뉴클릭,500,쿠퍼 컨버터블 3세대
베리 뉴 티볼리,1877,42,티볼리 아머,티볼리 에어,티볼리,뷰티풀 코란도,코란도 투리스모
벤자,1290,1,-1,-1,-1,-1,-1
벨로스터,746,29,벨로스터 JS,벨로스터 N,i30,i30 PD,뉴 i30
벨로스터 JS,1543,39,벨로스터,벨로스터 N,i30 PD,뉴 i30,i30
벨로스터 N,2474,22,벨로스터 JS,i30 PD,벨로스터,더 뉴 벨로스터,뉴 i30
볼트EV,2662,5,208,글래디에이터,C3 에어크로스,DS3,타이칸
봉고3 (04~19년),1024,134,더 뉴 봉고3 (19년~현재),마이티,포터2,F150,포터2 일렉트릭
봉고3 EV (20년~현재),2010,2,-1,-1,-1,-1,-1
뷰티풀 코란도,2127,33,코란도 투리스모,뉴 코란도,코란도 스포츠,뉴 스타일 코란도,코란도 C
비스토 1세대 (19~04년),350,1,-1,-1,-1,-1,-1
셀토스 (19년~현재),1846,88,스토닉 (17년~현재),레이 (11~17년),더 뉴 레이 (17년~현재),스포티지R (10~13년),스포티지 4세대 (15~18년)
슈퍼 렉스턴,550,1,-1,-1,-1,-1,-1
스타리아,3705,3,넥쏘,갤로퍼,i30 GD,니로 EV (18년~현재),아이오닉5
스토닉 (17년~현재),1323,47,그랜드 카니발 (05~10년),뉴 카니발 R (10~14년),스포티지R (10~13년),뉴 쏘렌토R (12~14년),쏘렌토 4세대 (20년~현재)
스팅어 (17~20년),2397,50,K5 (10~13년),더 뉴 K5 (18~20년),더 뉴 K5 (13~15년),K5 2세대 (15~18년),K5 (19년~현재)
스팅어 마이스터 (20년~현재),4262,4,로체 이노베이션 (08~10년),S60 3세대,랜서,뉴 카렌스 (06~08년),캠리 7세대
스파크,507,175,더 뉴 스파크,더 넥스트 스파크,마티즈 크리에이티브,알페온,콜로라도
스포티지 4세대 (15~18년),1721,131,스포티지 더 볼드 (18년~현재),더 뉴 스포티지R (13~16년),스포티지R (10~13년),기아 더 SUV 스포티지,스토닉 (17년~현재)
스포티지 더 볼드 (18년~현재),1520,78,스포티지 4세대 (15~18년),더 뉴 스포티지R (13~16년),스포티지R (10~13년),기아 더 SUV 스포티지,뉴 스포티지 (04~10년)
스포티지R (10~13년),919,35,스포티지 더 볼드 (18년~현재),더 뉴 스포티지R (13~16년),기아 더 SUV 스포티지,스포티지 4세대 (15~18년),스토닉 (17년~현재)
스프린터 2세대,4700,1,-1,-1,-1,-1,-1
시로코 3세대,1235,5,더 비틀 3세대,2시리즈 그란 쿠페,207,C3 에어크로스,i3 (14년~현재)
시빅 10세대,1827,4,EPACE,프리우스 4세대,IS 2세대,EV6 (21년~현재),QX60
시빅 8세대,1040,1,-1,-1,-1,-1,-1
시빅 9세대,970,1,-1,-1,-1,-1,-1
시에나,2287,9,랭글러 3세대,XT5,FPACE,F타입,컴패스 2세대
싼타페,1850,1,싼타페 더 프라임,싼타페DM,싼타페TM,싼타페CM,더 뉴 싼타페
싼타페 더 스타일,665,6,싼타페CM,더 뉴 싼타페,싼타페DM,싼타페TM,싼타페 더 프라임
싼타페 더 프라임,1740,127,싼타페TM,싼타페DM,더 뉴 싼타페,싼타페CM,싼타페 더 스타일
싼타페CM,754,14,더 뉴 싼타페,싼타페DM,싼타페 더 프라임,싼타페TM,싼타페 더 스타일
싼타페DM,1426,92,싼타페 더 프라임,더 뉴 싼타페,싼타페TM,싼타페CM,싼타페 더 스타일
싼타페TM,2135,166,싼타페 더 프라임,싼타페DM,더 뉴 싼타페,싼타페CM,싼타페 더 스타일
쏘나타 DN8,2060,128,LF쏘나타,쏘나타 뉴 라이즈,YF쏘나타,쏘나타 더 브릴리언트,쏘나타 DN8 하이브리드
쏘나타 DN8 하이브리드,2613,23,LF쏘나타 하이브리드,쏘나타 뉴 라이즈 하이브리드,쏘나타 하이브리드,쏘나타 더 브릴리언트,YF쏘나타
쏘나타 뉴 라이즈,1466,110,쏘나타 DN8,LF쏘나타,YF쏘나타,쏘나타 더 브릴리언트,쏘나타 DN8 하이브리드
쏘나타 뉴 라이즈 하이브리드,1523,24,쏘나타 DN8 하이브리드,LF쏘나타 하이브리드,쏘나타 하이브리드,쏘나타 더 브릴리언트,YF쏘나타
쏘나타 더 브릴리언트,865,18,YF쏘나타,LF쏘나타,쏘나타 DN8,쏘나타 뉴 라이즈,LF쏘나타 하이브리드
쏘나타 하이브리드,1009,11,LF쏘나타 하이브리드,쏘나타 DN8 하이브리드,쏘나타 뉴 라이즈 하이브리드,쏘나타 더 브릴리언트,YF소나타 하이브리드
쏘렌토 (02~06년),290,2,-1,-1,-1,-1,-1
쏘렌토 4세대 (20년~현재),4051,21,MQ4,쏘렌토R (09~12년),뉴 쏘렌토R (12~14년),올 뉴 쏘렌토 (14~17년),더 뉴 쏘렌토 (17~20년)
쏘렌토 4세대 하이브리드 (20년~현재),4510,23,쏘렌토 4세대 (20년~현재),MQ4,쏘렌토R (09~12년),뉴 쏘렌토R (12~14년),올 뉴 쏘렌토 (14~17년)
쏘렌토R (09~12년),928,18,쏘렌토 4세대 (20년~현재),MQ4,뉴 쏘렌토R (12~14년),올 뉴 쏘렌토 (14~17년),더 뉴 쏘렌토 (17~20년)
쏘울 (08~13년),693,15,쏘울 부스터 (19년~현재),올 뉴 쏘울 (13~16년),더 뉴 쏘울 (16~19년),포르테 (08~13년),포르테 쿱 (09~13년)
쏘울 부스터 (19년~현재),1573,13,올 뉴 쏘울 (13~16년),쏘울 (08~13년),더 뉴 쏘울 (16~19년),포르테 (08~13년),포르테 쿱 (09~13년)
쏠라티,1528,5,EV6 (21년~현재),DS3,레인저,레인지로버 4세대,글래디에이터
아반떼,820,1,벨로스터,벨로스터 JS,뉴 i30,i30,i30 PD
아반떼 CN7,1794,57,더 뉴 아반떼,더 뉴 아반떼MD,더 뉴 아반떼AD,아반떼HD,아반떼MD
아반떼 CN7 하이브리드,2906,3,I30,더 뉴 아이오닉 하이브리드,프리우스,프리우스 4세대,시빅 10세대
아반떼 쿠페,720,1,-1,-1,-1,-1,-1
아반떼 하이브리드,330,1,-1,-1,-1,-1,-1
아반떼AD,1195,193,더 뉴 아반떼AD,아반떼MD,더 뉴 아반떼,아반떼 CN7,더 뉴 아반떼MD
아반떼HD,458,11,더 뉴 아반떼MD,아반떼 CN7,i30 PD,더 뉴 아반떼,벨로스터 N
아반떼MD,735,165,더 뉴 아반떼,더 뉴 아반떼AD,아반떼AD,아반떼 CN7,더 뉴 아반떼MD
아베오,515,8,뉴클릭,더 뉴 프라이드 (15~17년),익스프레스,트래버스,카마로
아슬란,1605,23,뉴 에쿠스,더 뉴 그랜저,제네시스DH,그랜저 뉴 럭셔리,더 뉴 G70
아이오닉 플러그인,440,1,-1,-1,-1,-1,-1
아이오닉 하이브리드,1861,34,더 뉴 아이오닉 일렉트릭,i30,더 뉴 아이오닉 하이브리드,뉴 i30,i30 PD
아이오닉5,5040,6,더 뉴 아이오닉 일렉트릭,베뉴,넥쏘,i30 GD,갤로퍼
아테온,3407,10,CC,파사트 7세대,뉴 CC,파사트 GT 8세대,Q5 1세대
알티마 4세대,575,2,-1,-1,-1,-1,-1
알티마 5세대,1120,5,S60 3세대,어코드 10세대,QX60,캠리 7세대,박스터
알티마 6세대,2166,3,QX60,쿠가,V60 크로스컨트리 2세대,FPACE,올 뉴 에비에이터
알페온,734,12,마티즈 크리에이티브,콜로라도,임팔라,더 뉴 스파크,스파크
액티언,299,1,로디우스,마칸,V40 크로스컨트리,CRV 5세대,레인저
액티언스포츠,565,2,-1,-1,-1,-1,-1
어메이징 뉴 크루즈,805,28,올 뉴 크루즈,크루즈,더 뉴 맥스크루즈,베라크루즈,맥스크루즈
어코드 10세대,2827,4,CT6,S60 3세대,알티마 5세대,F타입,CTS
어코드 7세대,320,1,-1,-1,-1,-1,-1
어코드 9세대,1210,3,XJ,508 2세대,CRV 5세대,FPACE,올 뉴 에비에이터
에스컬레이드 3세대,1990,1,-1,-1,-1,-1,-1
에스컬레이드 4세대,7079,3,MKC,508 2세대,올 뉴 에비에이터,프리몬트,CRV 5세대
엑센트(신형),674,75,올 뉴 프라이드 (11~15년),쿠퍼 3세대,쿠퍼 2세대,아베오,뉴클릭
오피러스 프리미엄 (09~11년),620,5,LS 4세대,파나메라 2세대,Q70,S60 3세대,EV6 (21년~현재)
올 뉴 K3 (18~21년),1383,123,더 뉴 K3 (15~18년),K3 (12~15년),쏘울 부스터 (19년~현재),쏘울 (08~13년),포르테 (08~13년)
올 뉴 K7 (16~19년),1646,202,K7 프리미어 (19~21년),더 뉴 K7 (12~16년),더 프레스티지 K7 (11~12년),K7 프리미어 하이브리드 (19~21년),올 뉴 K7 하이브리드 (16년~현재)
올 뉴 K7 하이브리드 (16년~현재),2043,33,K7 프리미어 하이브리드 (19~21년),더 뉴 K7 (12~16년),더 프레스티지 K7 (11~12년),K7 하이브리드 (13~16년),K7 프리미어 (19~21년)
올 뉴 M,530,1,-1,-1,-1,-1,-1
올 뉴 SM7,757,17,SM7 뉴 아트,SM7 노바,SM7,SM5 뉴 임프레션,더 뉴 SM6
올 뉴 레인지로버 이보크,4676,2,-1,-1,-1,-1,-1
올 뉴 렉스턴,3735,14,G4 렉스턴,렉스턴 스포츠 칸,렉스턴W,렉스턴 스포츠,뉴 코란도 C
올 뉴 말리부,1563,87,말리부,더 뉴 말리부,알페온,뉴다마스,콜로라도
올 뉴 모닝 (11~15년),674,155,올 뉴 모닝 (17~20년),더 뉴 모닝 (15~17년),모닝 어반 (20년~현재),뉴모닝 (08~11년),캐스퍼
올 뉴 모닝 (17~20년),751,176,올 뉴 모닝 (11~15년),더 뉴 모닝 (15~17년),모닝 어반 (20년~현재),뉴모닝 (08~11년),캐스퍼
올 뉴 쏘렌토 (14~17년),1879,166,더 뉴 쏘렌토 (17~20년),MQ4,쏘렌토 4세대 (20년~현재),쏘렌토R (09~12년),뉴 쏘렌토R (12~14년)
올 뉴 쏘울 (13~16년),858,5,더 뉴 쏘울 (16~19년),쏘울 부스터 (19년~현재),포르테 쿱 (09~13년),쏘울 (08~13년),포르테 (08~13년)
올 뉴 에비에이터,7909,4,CRV 5세대,RAV4,디스커버리 5,MKC,코세어
올 뉴 오딧세이,3750,1,-1,-1,-1,-1,-1
올 뉴 카니발 (14~18년),2042,213,더 뉴 카니발 (18~20년),카니발 4세대 (20년~현재),뉴 카니발 R (10~14년),그랜드 카니발 (05~10년),스토닉 (17년~현재)
올 뉴 카렌스 (13~16년),1033,11,더 뉴 카렌스 (16~18년)0,뉴 카렌스 (06~08년),쏠라티,스팅어 마이스터 (20년~현재),익스프레스
올 뉴 크루즈,1186,30,어메이징 뉴 크루즈,크루즈,더 뉴 맥스크루즈,베라크루즈,맥스크루즈
올 뉴 투싼,1654,209,뉴 투싼ix,투싼ix,디 올 뉴 투싼 하이브리드,디 올 뉴 투싼,싼타페CM
올 뉴 프라이드 (11~15년),676,36,쿠퍼 3세대,쿠퍼 2세대,쿠퍼 클럽맨 2세대,더 뉴 프라이드 (15~17년),쿠퍼 컨트리맨 1세대
올란도,983,85,캡티바,뉴다마스,이쿼녹스,콜로라도,트랙스
우루스,30390,1,-1,-1,-1,-1,-1
윈스톰,397,4,리얼 뉴 콜로라도,익스프레스,트래버스,이쿼녹스,라세티 프리미어
윈스톰 맥스,450,1,-1,-1,-1,-1,-1
이스케이프,1010,1,-1,-1,-1,-1,-1
이쿼녹스,2251,11,콜로라도,윈스톰,리얼 뉴 콜로라도,캡티바,트레일블레이저
