이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
현대 코나 일렉트릭 프리미엄,현대,코나,3080,180,2019,청색,42274,자동,전기,SUV,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E220 CDI 아방가르드,벤츠,E클래스,1850,2143,2014,은색,90236,자동,경유,중형차,0,후륜,0,0,외제차
쌍용 티볼리 에어 가솔린 1.6 RX 4WD,쌍용,티볼리,1640,1597,2019,청색,27500,자동,휘발유,SUV,0,4륜,0,0,국산차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,510,995,2012,흰색,33690,자동,휘발유,경차,0,전륜,0,0,국산차
현대 i30(신형) 1.6 GDI 익스트림,현대,i30,920,1591,2012,검정색,97497,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 모하비 4WD KV300 세부등급 없음,기아,모하비,2040,2959,2015,은색,111210,자동,경유,SUV,0,4륜,0,0,국산차
르노삼성 SM5 노바 디젤 D 프리미엄,르노삼성,SM5,780,1461,2015,쥐색,115237,자동,경유,중형차,0,전륜,0,0,국산차
포드 포커스 1.5 디젤 티타늄 해치백 3세대,포드,포커스,1250,1499,2016,쥐색,59159,자동,경유,준중형차,0,전륜,0,0,외제차
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,현대,아반떼,940,1591,2014,쥐색,56950,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,990,2359,2014,쥐색,127239,자동,휘발유,대형차,0,전륜,1,0,국산차
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,현대,싼타페,1770,1995,2016,흰색,125477,자동,경유,SUV,0,전륜,0,0,국산차
현대 엑센트(신형) 1.4 VVT 프리미어,현대,엑센트,850,1396,2012,흰색,36575,자동,휘발유,소형차,0,전륜,0,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1020,2359,2015,은색,132432,자동,휘발유,대형차,0,전륜,1,0,국산차
쉐보레(GM대우) 더 넥스트 스파크 LTZ,쉐보레,스파크,930,999,2016,하늘색,23756,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 2WD 마스터,기아,쏘렌토,2800,2199,2019,검정색,35919,자동,경유,SUV,0,전륜,1,0,국산차
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,기아,쏘렌토,2200,1995,2015,흰색,70666,자동,경유,SUV,0,전륜,0,0,국산차
벤츠 GLE-클래스 W167 디젤 4WD GLE300d 4MATIC,벤츠,E클래스,8210,1950,2019,검정색,32335,자동,경유,SUV,0,4륜,0,0,외제차
쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스,쌍용,렉스턴,2420,2157,2019,쥐색,41820,자동,경유,SUV,0,4륜,0,0,국산차
기아 스포티지 R 디젤 2WD TLX 최고급형,기아,스포티지,1080,1995,2012,은회색,71052,자동,경유,SUV,0,전륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,현대,그랜저,3190,2359,2019,검정색,57948,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,2330,2199,2018,흰색,68605,자동,경유,RV,0,전륜,0,0,국산차
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 노블레스,기아,쏘렌토,4350,1598,2021,흰색,23168,자동,하이브리드,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 프리미어,쉐보레,스파크,1150,999,2021,진주색,12822,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스,기아,쏘렌토,2950,1995,2020,흰색,11711,자동,경유,SUV,0,전륜,0,0,국산차
