판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-01-28,645?일,?그랜저HG LPG HG300 MODERN [무],오토,2016.04,LPG,"89,203",검정색,"1,450",옵션
,,,,[ 2016 ],,,,,
2022-01-28,645?일,?그랜드스타렉스 12인 모던 [무],오토,2017.03,경유,"79,000",은색,"1,490",옵션
,,,,[ 2017 ],,,,,
2022-01-28,645?일,?그랜드스타렉스 12인 모던 스페셜 [무],오토,2016.09,경유,"99,107",흰색,"1,490",옵션
,,,,[ 2017 ],,,,,
2022-01-28,645?일,?티볼리 1.6 XDI LX Plus [무],오토,2016.03,경유,"55,029",청색,"1,170",옵션
,,,,[ 2016 ],,,,,
2022-01-28,640?일,?아반떼AD 1.6 GDI 밸류 플러스 [무],오토,2017.05,휘발유,"70,181",은색,10,옵션
,,,,[ 2018 ],,,,,
2022-01-28,640?일,?K5 SX 2.0 노블레스 [무],오토,2016.03,휘발유,"68,169",다크블루,"1,490",옵션
,,,,[ 2016 ],,,,,
2022-01-28,634?일,?아반떼신형(HD) 1.6 S16 럭셔리 [무],오토,2008.06,휘발유,"116,000",흰색,250,옵션
,,,,[ 2008 ],,,,,
2022-01-28,630?일,?그랜저HG HG300 PREMIUM,오토,2015.01,휘발유,"120,836",다크그레이,"1,190",옵션
,,,,[ 2015 ],,,,,
2022-01-28,627?일,?렉스턴W 2.2 RX7 4WD 럭셔리,오토,2016.06,경유,"111,200",흰색,980,옵션
,,,,[ 2016 ],,,,,
2022-01-28,627?일,?아반떼MD M16GDI LUXURY [무],오토,2012.02,휘발유,"67,868",흰색,630,옵션
,,,,[ 2012 ],,,,,
2022-01-28,627?일,?LF 소나타 2.0 스마트 기본형 [무],오토,2015.09,휘발유,"71,117",흰색,"1,280",옵션
,,,,[ 2016 ],,,,,
2022-01-28,626?일,?그랜저HG LPG HG300 MODERN [무],오토,2016.04,LPG,"123,447",검정색,"1,270",옵션
,,,,[ 2016 ],,,,,
2022-01-28,626?일,?레이 바이퓨얼 프레스티지 [무],오토,2017.05,휘발유/LPG겸,"51,497",하늘색,"1,045",옵션
,,,,[ 2017 ],,,,,
2022-01-28,625?일,?쿠퍼S 컨트리맨 ALL4 [무],오토,2012.04,휘발유,"113,489",흰색,"1,180",옵션
,,,,[ 2012 ],,,,,
2022-01-28,625?일,?올뉴투싼 디젤 2.0 2WD 스타일 스페셜 [무],오토,2016.07,경유,"102,006",흰색,"1,270",옵션
,,,,[ 2017 ],,,,,
2022-01-28,623?일,?SM5노바 SE [무],오토,2016.03,휘발유,"29,800",흰색,900,옵션
,,,,[ 2016 ],,,,,
2022-01-28,1060?일,?LF 소나타 2.0 스타일 스페셜 [무],오토,2016.03,휘발유,"45,032",흰색,"1,490",옵션
,,,,[ 2016 ],,,,,
2022-01-28,1058?일,?엑센트신형 1.4VVT 스마트,오토,2016.01,휘발유,"10,114",은색,790,옵션
,,,,[ 2016 ],,,,,
