판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-02-28,34?일,?더 SUV 스포티지 디젤 2.0 2WD 노블레스 플러스,오토,2017.11,경유,"50,000",흰색,"1,850",옵션
,,,,[ 2018 ],,,,,
2022-02-28,12?일,?올 뉴 카니발 9인승 프레스티지 [무],오토,2016.09,경유,"151,977",흰색,"1,760",옵션
,,,,[ 2017 ],,,,,
2022-02-28,67?일,?뉴코란도C 2.0 CVT 4WD 고급형 [무],오토,2014.03,경유,"106,425",검정색,900,옵션
,,,,[ 2014 ],,,,,
2022-02-28,40?일,?봉고3트럭 1톤 초장축 킹캡 CRDi,수동,2015.12,경유,"61,199",청색,970,옵션
,,,,[ 2016 ],,,,,
2022-02-28,6?일,?익스플로러 6세대 2.3 리미티지 4WD [무],오토,2020.08,휘발유,"21,000",흰색,"8,282",옵션
,,,,[ 2020 ],,,,,
2022-02-28,139?일,?쿠퍼D 클럽맨 HIGH [무],오토,2020.02,경유,"18,000",다크그레이,"8,888",옵션
,,,,[ 2020 ],,,,,
2022-02-28,4?일,?K7 프리미어 2.5 GDI X 에디션 [무],오토,2020.09,휘발유,"22,000",다크블루,"3,190",옵션
,,,,[ 2020 ],,,,,
2022-02-28,101?일,?어메이징 뉴 크루즈 1.4 터보 퍼펙트 블랙 [무],오토,2015.12,휘발유,"85,662",검정색,790,옵션
,,,,[ 2016 ],,,,,
2022-02-28,126?일,?에쿠스(신형) VS380 럭셔리 [무],오토,2010.04,휘발유,"188,103",검정색,700,옵션
,,,,[ 2010 ],,,,,
2022-02-28,31?일,?SM6 1.5 DCI SE,오토,2016.12,경유,"41,684",다크그레이,"1,090",옵션
,,,,[ 2016 ],,,,,
2022-02-28,31?일,?스포티지R 2WD TLX 프리미엄 [무],오토,2010.10,경유,"101,614",쥐색,970,옵션
,,,,[ 2011 ],,,,,
2022-02-28,18?일,?K5하이브리드 2세대 노블레스 스페셜 [무],오토,2016.01,휘발유 하이브리드,"157,000",검정색,"1,800",옵션
,,,,[ 2016 ],,,,,
2022-02-28,13?일,?뉴SM5(신형) 장애우용 [무],오토,2010.12,LPG,"179,539",검정색,380,옵션
,,,,[ 2011 ],,,,,
2022-02-28,25?일,?뉴모닝 LPI SLX 고급형 블랙프리미엄,오토,2010.07,LPG,"132,119",갈대색,260,옵션
,,,,[ 2011 ],,,,,
2022-02-28,68?일,?더뉴스포티지R 디젤 2WD 트렌디 [무],오토,2013.11,경유,"81,236",흰색,"1,210",옵션
,,,,[ 2014 ],,,,,
2022-02-28,137?일,?아반떼(CN7) 1.6 모던 [무],오토,2020.10,휘발유,"2,433",다크블루,"1,990",옵션
,,,,[ 2021 ],,,,,
2022-02-28,117?일,?뉴SM3(신형) RE,오토,2010.09,휘발유,"185,394",흰색,290,옵션
,,,,[ 2011 ],,,,,
2022-02-28,49?일,?더뉴레이 럭셔리 [무],오토,2020.01,휘발유,"11,490",흰색,"1,420",옵션
,,,,[ 2020 ],,,,,
2022-02-28,60?일,?벨로스터 터보 GDI 익스트림 [무],수동,2013.01,휘발유,"97,405",흰색,650,옵션
,,,,[ 2013 ],,,,,
2022-02-28,21?일,?그랜저IG 3.0 GDI 익스클루시브 [무],오토,2016.12,휘발유,"122,500",검정색,"9,999",옵션
,,,,[ 2017 ],,,,,
2022-02-28,414?일,?더뉴K7 2.4 GDI 프레스티지 스페셜 [무],오토,2013.05,휘발유,"173,881",검정색,730,옵션
,,,,[ 2013 ],,,,,
2022-02-28,125?일,?더뉴모닝 바이퓨얼 럭셔리,오토,2016.03,휘발유/LPG겸,"166,339",흰색,500,옵션
,,,,[ 2016 ],,,,,
2022-02-28,13?일,?그랜드스타렉스밴 3인 CVX 럭셔리,오토,2011.11,경유,"161,500",은색,930,옵션
,,,,[ 2012 ],,,,,
2022-02-28,60?일,?LF 소나타 2.0 스타일 [무],오토,2014.07,휘발유,"124,094",검정색,760,옵션
,,,,[ 2015 ],,,,,
2022-02-28,66?일,?티볼리 1.6 VX [무],오토,2016.06,휘발유,"76,753",흰색,"1,260",옵션
,,,,[ 2016 ],,,,,
2022-02-28,101?일,?올뉴투싼 디젤 1.7 2WD 스타일 피버 [무],오토,2016.10,경유,"100,256",흰색,"1,390",옵션
,,,,[ 2016 ],,,,,
2022-02-28,125?일,?카운티(e) 25인 [무],수동,2005.11,경유,"129,198",흰색,450,옵션
,,,,[ 2006 ],,,,,
2022-02-28,266?일,?봉고3트럭 파워게이트 1.2톤 [무],수동,2014.12,경유,"316,011",흰색,820,옵션
,,,,[ 2014 ],,,,,
2022-02-28,18?일,?올뉴K7 2.4 GDI 프레스티지 [무],오토,2017.03,휘발유,"71,000",검정색,164,옵션
,,,,[ 2017 ],,,,,
2022-02-28,82?일,?5-SERIES(G30) 520D XDRIVE M 스포츠 플러스 [무],오토,2017.11,경유,"56,000",쥐색,360,옵션
,,,,[ 2018 ],,,,,
2022-02-28,154?일,?더K9 3.8 GDI 플래티넘Ⅰ [무],오토,2018.05,휘발유,"94,000",다크그레이,294,옵션
,,,,[ 2019 ],,,,,
2022-02-28,18?일,?올뉴K7 2.4 GDI 프레스티지 [무],오토,2017.07,휘발유,"89,000",검정색,142,옵션
,,,,[ 2017 ],,,,,
2022-02-28,18?일,?올뉴K7 2.4 GDI 프레스티지 [무],오토,2018.09,휘발유,"99,000",검정색,154,옵션
,,,,[ 2018 ],,,,,
2022-02-28,11?일,?더 SUV 스포티지 디젤 1.7 2WD 트렌디 [무],오토,2018.03,경유,"100,000",진주색,22,옵션
,,,,[ 2018 ],,,,,
2022-02-28,32?일,?올뉴SM7 3.5 SE35 [무],오토,2012.05,휘발유,"99,873",검정색,640,옵션
,,,,[ 2012 ],,,,,
2022-02-28,13?일,?크루즈 1.8LTZ + 스타일패키지 [무],오토,2015.01,휘발유,"113,626",흰색,595,옵션
,,,,[ 2015 ],,,,,
2022-02-28,10?일,?라세티프리미어 CDX 아이덴티티 고급형,오토,2010.04,휘발유,"188,000",검정색,250,옵션
,,,,[ 2010 ],,,,,
2022-02-28,151?일,?아반떼AD 1.6 GDI 스마트 [무],오토,2016.01,휘발유,"142,721",흰색,860,옵션
,,,,[ 2016 ],,,,,
2022-02-28,40?일,?뉴카렌스 LPI GLX 최고급형 [무],오토,2009.01,LPG,"110,235",은색,400,옵션
,,,,[ 2009 ],,,,,
2022-02-28,68?일,?봉고3트럭 1톤 초장축 킹캡 CRDi [무],수동,2009.11,경유,"161,317",청색,390,옵션
,,,,[ 2010 ],,,,,
2022-02-28,49?일,?더뉴K5 2.0 LPI 프레스티지 [무],오토,2014.08,LPG,"116,919",흰색,"1,030",옵션
,,,,[ 2014 ],,,,,
2022-02-28,108?일,?골프 7세대 2.0 TDI 프리미엄 [무],오토,2016.03,경유,"80,726",검정색,"9,999",옵션
,,,,[ 2016 ],,,,,
2022-02-28,63?일,?말리부 LS 디럭스 [무],오토,2014.05,휘발유,"74,711",쥐색,"9,999",옵션
,,,,[ 2014 ],,,,,
2022-02-28,77?일,?액티언스포츠 2WD AX5 CLUB [무],오토,2012.01,경유,"184,437",은색투톤,350,옵션
,,,,[ 2011 ],,,,,
2022-02-28,80?일,?뷰티풀코란도 2WD 1.6 디젤 딜라이트 플러스,오토,2019.06,경유,"68,694",청색,"1,680",옵션
,,,,[ 2019 ],,,,,
2022-02-28,6?일,?G80 3.3 GDI 럭셔리 [무],오토,2019.11,휘발유,"15,600",검정색,"9,999",옵션
,,,,[ 2020 ],,,,,
2022-02-28,143?일,?크루즈 2.0LTZ + (The Perfect Black) [무],오토,2012.07,경유,"160,992",검정색,570,옵션
,,,,[ 2012 ],,,,,
2022-02-28,83?일,?SM6 1.5 DCI SE [무],오토,2017.12,경유,"95,700",흰색,"9,999",옵션
,,,,[ 2017 ],,,,,
2022-02-28,82?일,?더 넥스트 스파크 패션 [무],오토,2016.01,휘발유,"16,300",흰색,"9,999",옵션
,,,,[ 2016 ],,,,,
2022-02-28,54?일,?뉴A6 3.0 TFSI 콰트로 [무],오토,2012.08,휘발유,"114,899",다크블루,"1,150",옵션
,,,,[ 2012 ],,,,,
2022-02-28,3?일,?레이 프레스티지 [무],오토,2015.12,휘발유,"50,530",베이지색,940,옵션
,,,,[ 2016 ],,,,,
2022-02-28,14?일,?카고(3.5~4톤) 마이티3.5톤 올뉴마이티 [무],수동,2016.11,경유,"63,114",흰색,"6,750",옵션
,,,,[ 2017 ],,,,,
2022-02-28,33?일,?K5 MX 2.0 LPI 럭셔리 A/T [무],오토,2017.10,LPG,"76,466",흰색,"1,180",옵션
,,,,[ 2018 ],,,,,
2022-02-28,195?일,?K5 SX 2.0 LPI 프레스티지 [무],오토,2016.12,LPG,"25,429",검정색,"1,450",옵션
,,,,[ 2017 ],,,,,
2022-02-28,21?일,?더 SUV 스포티지 디젤 2.0 2WD 노블레스 [무],오토,2017.04,경유,"88,286",흰색,"1,770",옵션
,,,,[ 2017 ],,,,,
2022-02-28,17?일,?니로 1.6 하이브리드 노블레스 [무],오토,2017.06,휘발유 하이브리드,"83,000",흰색,"1,990",옵션
,,,,[ 2017 ],,,,,
2022-02-28,14?일,?골프 7세대 2.0 TDI [무],오토,2016.03,경유,"66,000",은색,"1,530",옵션
,,,,[ 2016 ],,,,,
2022-02-28,12?일,?더뉴모닝 밴 고급형 [무],오토,2016.04,휘발유,"44,000",흰색,600,옵션
,,,,[ 2016 ],,,,,
